Script|Category|Keywords|Purpose|Syntax|Example1|Example2|Example3
snapper.sql|Performance Monitoring|performance, session, ash, statistics, monitoring, snapshot, profiling, metrics, workload, activity|Session-level performance measurement without requiring database changes. Flagship TPT tool.|@snapper [options] <seconds> <snapshots> <sid>|@snapper ash 5 12 all|@snapper ash=sql_id+event 5 6 123,456|@snapper stats,gather=st 1 60 all
s.sql|Session Monitoring|session, wait, event, sql, sid, current, activity, blocking, status|Display current session wait and SQL_ID information for specified sessions|@s <sid>|@s 123|@s 52,110,225|@s "select sid from v$session where username='SOE'"
sqlid.sql|SQL Analysis|sql, sqlid, execution, statistics, plan, cursor, child, performance, text|Display SQL text, child cursors, and execution statistics for a given SQL_ID|@sqlid <sql_id> <child_number>|@sqlid 7q729nhdgtsqq 0|@sqlid 7q729nhdgtsqq %|
x.sql|Execution Plans|explain, plan, execution, xplan, last, cursor, dbms_xplan, allstats|Display execution plan with runtime statistics for last SQL statement in session|@x|@x||
xa.sql|Execution Plans|explain, plan, execution, xplan, last, cursor, allstats, alias|Alias for x.sql - Display execution plan for last SQL statement|@xa|@xa||
xi.sql|Execution Plans|explain, plan, execution, xplan, sqlid, library, cache, cursor|Display execution plan from library cache for specific SQL_ID and child number|@xi <sql_id> <child_number>|@xi 7q729nhdgtsqq 0|@xi 7q729nhdgtsqq %|
xawr.sql|Execution Plans / AWR|explain, plan, execution, xplan, awr, history, plan_hash_value|Display execution plan from AWR for SQL_ID and plan hash value|@xawr <sql_id> <plan_hash_value>|@xawr 0sh0fn7r21020 1541789278|@xawr 0sh0fn7r21020 %|
ash/ashtop.sql|ASH Analysis|ash, active, session, history, top, wait, event, sql, grouping, activity|Display top ASH activity by grouping specified columns from V$ACTIVE_SESSION_HISTORY|@ash/ashtop <grouping_cols> <filters> <from_time> <to_time>|@ash/ashtop username,sql_id,event2 1=1 sysdate-1/24 sysdate|@ash/ashtop event2,wait_class 1=1 &hour|
ash/ash_wait_chains.sql|ASH Analysis / Lock Analysis|ash, wait, chain, blocking, blocker, lock, contention, dependency|Display ASH wait chains showing multi-session wait signatures and blocking|@ash/ash_wait_chains <grouping_cols> <filters> <from_time> <to_time>|@ash/ash_wait_chains username "wait_class='Application'" sysdate-1/24 sysdate||
ash/asqlmon.sql|ASH Analysis / SQL Analysis|ash, sql, monitor, execution, plan, operation, step, drill, performance|SQL-monitoring-style drill-down showing where in execution plan time is spent|@ash/asqlmon <sql_id> <child_number> <from_time> <to_time>|@ash/asqlmon 7q729nhdgtsqq 0 sysdate-1/24 sysdate|@ash/asqlmon 7q729nhdgtsqq % sysdate-1 sysdate|
